seed,class_name,n,mean_divergence,sd_divergence
51,DNA,117944,228.2263701417622,62.64794801010186
51,LINE,314752,231.60636945912972,85.09945558274269
51,LTR,139376,206.2428323384227,71.49992154535381
51,RC,472,270.09957627118644,45.34094755564976
51,Retroposon,1700,166.78764705882352,96.93802853790976
51,SINE,430648,177.65900689193958,85.34014764738562
52,DNA,117489,228.40599545489366,62.830127337110916
52,LINE,312437,231.57917916251915,85.05457098346467
52,LTR,139199,205.89594752835868,71.63886427925704
52,RC,486,276.39506172839504,42.245903401564235
52,Retroposon,1780,166.62696629213482,96.31426296425249
52,SINE,430026,177.5598987037993,85.16462669543827
53,DNA,118637,227.81831974847645,62.96990590743838
53,LINE,315573,231.81380536357673,84.99798892992688
53,LTR,139599,205.36049685169664,71.8210910583366
53,RC,486,275.1090534979424,39.11819222946869
53,Retroposon,1705,164.5642228739003,97.05055434306581
53,SINE,429903,177.799510587272,85.3076168713838
54,DNA,116819,228.29165632302966,62.800153008677746
54,LINE,313615,231.78182803756198,84.85379397069056
54,LTR,139150,205.58280273086598,71.65746932558291
54,RC,514,269.3307392996109,42.274528355766
54,Retroposon,1688,162.86196682464455,96.43412664075785
54,SINE,429646,177.42014123254958,85.28135235075469
55,DNA,118216,228.58712864586857,62.76541361044708
55,LINE,313925,232.00686151150754,84.87148191358806
55,LTR,139075,205.77933489124572,71.70700832069589
55,RC,463,271.8488120950324,39.007321039789346
55,Retroposon,1651,161.2253179890975,95.4230853730516
55,SINE,432021,178.04276181018977,85.33729296495423
56,DNA,118384,228.09882247601027,62.6769568746177
56,LINE,313889,231.78060397146763,85.25368333976719
56,LTR,139467,205.4623817820703,71.50744266648758
56,RC,445,272.4943820224719,47.675335435503406
56,Retroposon,1638,166.92185592185592,96.86528161519968
56,SINE,429913,177.77861102129967,85.4478946010574
57,DNA,117652,227.95072756944208,63.13253821521512
57,LINE,314886,231.65039411088458,85.00281373152622
57,LTR,138322,205.70527464900738,71.71923574292967
57,RC,460,270.80652173913046,39.43761668307089
57,Retroposon,1642,163.44640682095007,97.24924901250336
57,SINE,430524,178.00328901524654,85.3771903348967
58,DNA,117617,228.15555574449272,62.97351144351099
58,LINE,314614,231.93106155479413,85.05337695655207
58,LTR,138686,205.5397156165727,71.71539158955005
58,RC,458,269.7510917030568,41.04108135844124
58,Retroposon,1660,164.7620481927711,95.41450159109566
58,SINE,430906,177.76132613609465,85.23061508892526
59,DNA,118197,228.07885140908823,62.94316740878554
59,LINE,313426,231.96050742440002,84.98015806647585
59,LTR,138184,205.9834857870665,71.77995268243909
59,RC,428,272.9883177570093,40.51730164613726
59,Retroposon,1707,171.51552431165788,96.61563105012394
59,SINE,428999,177.64929055778686,85.3231696726922
60,DNA,117365,228.1324926511311,63.29805500341805
60,LINE,313930,231.9334979135476,85.013477107412
60,LTR,139493,205.87243087466754,71.60175417775791
60,RC,484,276.41735537190084,36.584886410471455
60,Retroposon,1687,170.3609958506224,96.18325337455411
60,SINE,430515,177.8981615042449,85.28117542863245
61,DNA,118003,227.9676364160233,62.79899129220331
61,LINE,313336,232.12451489774554,84.7822084342598
61,LTR,139561,205.80147749012977,71.73256527745387
61,RC,527,272.1404174573055,42.580732765674455
