,class_name,individual_name
9214,DNA,Charlie17
9304,LINE,L1MCb
9389,DNA,Charlie4
9535,LTR,ERVL-B4-int
9603,LTR,HERV9-int
9605,LTR,MER51B
9627,LTR,LTR47A
9653,LTR,LTR82A
9669,LTR,LTR21A
9707,LTR,LTR77
9708,LTR,LTR61
9831,DNA,MER106B
9875,LTR,MER52D
9882,DNA,Charlie7
9943,LTR,LTR56
9966,LTR,MER4C
9988,LTR,MER41E
9990,SINE,AluYe6
10002,LTR,MER110A
10054,LTR,MER11D
10142,DNA,Tigger10
10156,DNA,hAT-N1a_Mam
10173,LTR,MamGypLTR3a
10177,LTR,Eutr10
10180,LTR,LTR26E
10220,DNA,MER124
10320,DNA,MamRep488
10454,DNA,Zaphod2
