subfamily_name,subfamily_name,class_name,Observed_TEs_number,Total_TEs_number,Observed_Odds_Ratio,Enrichment_p_value,Enrichment_p_value_adjusted,Average_divergence_genes,Average_divergence_all,Observed_TEs_number_log,Total_TEs_number_log,Random_Odds_Ratio_Mean,Random_Odds_Ratio_SD,Random_Odds_Ratio_Quantile_Of_Observed,p_raw_empirical,p_raw_empirical_clamped,p_adjusted_empirical_bh
L1MA7,L1MA7,LINE,697,5830,1.4190881162803386,1.0315917646438031e-16,6.238674005226809e-16,150.17073170731706,158.55231560891937,2.8432327780980096,3.765668554759014,2.661409989891834,0.13856521078771242,1.0,0.0,0.003992015968063872,0.010707259953161602
ERVL-E-int,ERVL-E-int,LTR,586,4280,1.6578629150267663,1.0291221178829415e-26,8.58603343605987e-26,281.8174061433447,290.06915887850465,2.767897616018091,3.6314437690131722,2.562859179971835,0.15296754598344667,1.0,0.0,0.003992015968063872,0.010707259953161602
L1PA7,L1PA7,LINE,746,10091,0.8342703448382865,1.1264942430079351e-06,3.6683274067181478e-06,65.98793565683646,68.40253691408185,2.8727388274726686,4.003934206173708,2.5887946846437067,0.10026478164635477,1.0,0.0,0.003992015968063872,0.010707259953161602
L1M7,L1M7,LINE,204,1642,1.482582632367386,4.670439854204804e-07,1.5887835575464558e-06,258.0,268.28928136419,2.3096301674258988,3.215373152783422,2.6282120148916475,0.2562811664435719,1.0,0.0,0.003992015968063872,0.010707259953161602
L1PA14,L1PA14,LINE,238,2432,1.133673250962498,0.06700602101474919,0.10878960514184421,99.52100840336135,110.33018092105263,2.376576957056512,3.385963570600697,2.679986882160538,0.19855548975897455,1.0,0.0,0.003992015968063872,0.010707259953161602
FLAM_C,FLAM_C,SINE,7049,32847,2.855592946140396,0.0,0.0,168.07901830046816,176.1349286083965,3.848127510567875,4.516495710488137,1.511228211970881,0.03534878141591754,0.0,0.0,0.003992015968063872,0.010707259953161602
L2b,L2b,LINE,15985,74761,2.8423441709620683,0.0,0.0,286.88176415389427,294.4814408582015,4.203712640607707,4.873675101850418,2.1187557137488713,0.0307247057794705,0.0,0.0,0.003992015968063872,0.010707259953161602
MLT1H1,MLT1H1,LTR,253,2794,1.04055105250814,0.5463580093870684,0.6310344181666367,255.0671936758893,262.39942734430923,2.403120521175818,3.446226401778163,1.6101432739305162,0.12987115647656983,1.0,0.0,0.003992015968063872,0.010707259953161602
THE1B,THE1B,LTR,1047,18847,0.6147140697220894,9.044775063870373e-61,1.2922722372504794e-59,115.88538681948424,119.50506711943545,3.0199466816788423,4.2752422305559,1.6110944625616421,0.05016108719954436,1.0,0.0,0.003992015968063872,0.010707259953161602
LTR64,LTR64,LTR,61,258,3.2360200000059747,6.276897283847039e-13,3.105841383306132e-12,170.5737704918033,168.60852713178295,1.7853298350107671,2.41161970596323,1.6074049012509712,0.4293670462739447,0.0,0.0,0.003992015968063872,0.010707259953161602
MLT1F2,MLT1F2,LTR,410,4620,1.0177691748952409,0.7347788705837359,0.7975804834541407,230.20731707317074,236.60476190476192,2.6127838567197355,3.6646419755561257,1.6147806966751892,0.0967580796836508,1.0,0.0,0.003992015968063872,0.010707259953161602
LTR33B,LTR33B,LTR,56,1208,0.5080225409975572,5.6852689202368225e-08,2.1236151555002248e-07,288.125,278.37831125827813,1.7481880270062005,3.082066934285113,1.5961802832223888,0.20367347734309613,1.0,0.0,0.003992015968063872,0.010707259953161602
MER65D,MER65D,LTR,57,288,2.5787571933787943,6.299101811413969e-09,2.553146585264598e-08,200.6315789473684,205.29166666666666,1.7558748556724915,2.459392487759231,1.6374644131408682,0.40077924174783075,0.018,0.036,0.036,0.07481454545454552
L1MA5,L1MA5,LINE,297,2448,1.4429912757230086,1.4204263859941971e-08,5.617810931458018e-08,145.3804713804714,148.68627450980392,2.4727564493172123,3.3888114134735234,2.6910293477057228,0.21952096873495036,1.0,0.0,0.003992015968063872,0.010707259953161602
MLT1D,MLT1D,LTR,1317,14276,1.062091489606965,0.03796377367923302,0.06564688852551187,207.76841305998482,211.5962454469039,3.119585774961784,4.1546065392836224,1.597109649558439,0.05584473091622318,1.0,0.0,0.003992015968063872,0.010707259953161602
THE1D,THE1D,LTR,691,11199,0.6872345776654297,7.025951964761496e-24,5.426123713325939e-23,118.36903039073806,122.85748727564962,2.8394780473741985,4.049179244645967,1.5973258790123932,0.06180557459730236,1.0,0.0,0.003992015968063872,0.010707259953161602
AluYa5,AluYa5,SINE,561,4389,1.531576745814673,3.226329947617525e-19,2.2082006767226535e-18,50.51158645276292,37.21827295511506,2.748962861256161,3.6423655808449733,1.529954196503869,0.09520342490872243,0.476,0.952,0.952,0.964659574468085
AluYk2,AluYk2,SINE,1663,10601,1.9444675885857858,1.3224635098546532e-117,2.5619928673963877e-116,71.33613950691522,77.10546174889161,3.2208922492195193,4.025346834509827,1.5394967248093745,0.06640085971314952,0.0,0.0,0.003992015968063872,0.010707259953161602
L1M2c,L1M2c,LINE,29,226,1.538435556870386,0.03372680213066348,0.05930728436207439,222.93103448275863,212.98230088495575,1.462397997898956,2.3541084391474008,2.8138327896564452,0.7602692175618488,0.976,0.04800000000000004,0.04800000000000004,0.09574869109947652
AluJo,AluJo,SINE,2762,15650,2.239691009720526,6.531986034231319e-271,1.964752641349052e-269,154.697320782042,159.13686900958467,3.4412236742426123,4.194514341882467,1.5345588435272093,0.057387748973260565,0.0,0.0,0.003992015968063872,0.010707259953161602
L1ME4c,L1ME4c,LINE,1495,7848,2.4592986620321016,8.786188155733672e-178,2.1831767526094754e-176,260.37658862876253,262.282619775739,3.1746411926604483,3.894758994371892,2.634335652010125,0.11645908592522915,0.93,0.1399999999999999,0.1399999999999999,0.23428989751098098
MER1A,MER1A,DNA,323,3015,1.2539351948376123,0.00018038800219808343,0.0004654254774546486,123.03405572755418,126.74262023217247,2.509202522331103,3.47928731647617,1.5794996197566649,0.11510115959531411,1.0,0.0,0.003992015968063872,0.010707259953161602
